Rank,Country,Score
1,Australia,1
1,Austria,1
1,Bahamas,1
1,Belgium,1
1,Botswana,1
1,Canada,1
1,Colombia,1
1,Czech Republic,1
1,Denmark,1
1,Estonia,1
1,Finland,1
1,France,1
1,Honduras,1
1,Israel,1
1,Jamaica,1
1,Latvia,1
1,Lesotho,1
1,Luxembourg,1
1,Maldives,1
1,Malta,1
1,Netherlands,1
1,New Zealand,1
1,Nicaragua,1
1,Russian Federation,1
1,Slovak Republic,1
26,Ukraine,1
27,Slovenia,1
28,Uruguay,1
29,Georgia,1
30,Chile,1
31,Norway,1
32,Namibia,1
33,Costa Rica,1
34,United States,1
35,Brazil,1
36,Iceland,0.999
37,Philippines,0.999
38,United Kingdom,0.999
39,Belarus,0.999
40,Albania,0.999
41,Venezuela,0.998
42,Dominican Republic,0.998
43,Spain,0.998
44,Cuba,0.998
45,Armenia,0.998
46,Paraguay,0.998
47,Ireland,0.998
48,Cyprus,0.998
49,Montenegro,0.998
50,Lithuania,0.998
51,Fiji,0.997
52,Romania,0.997
53,Serbia,0.997
54,Mexico,0.997
55,Italy,0.997
56,Ecuador,0.997
57,Kuwait,0.997
58,Poland,0.996
59,Sweden,0.996
60,Azerbaijan,0.996
61,Moldova,0.996
62,Croatia,0.995
63,Kazakhstan,0.995
64,Argentina,0.995
65,Panama,0.994
66,Trinidad and Tobago*,0.994
67,South Africa,0.994
68,Suriname,0.993
69,Greece,0.993
70,Hungary,0.993
71,Mongolia,0.993
72,Brunei Darussalam,0.992
73,Portugal,0.992
74,Mauritius,0.992
75,El Salvador,0.992
76,Swaziland,0.992
77,Switzerland,0.992
78,Belize,0.991
79,Barbados,0.991
80,Thailand,0.991
81,Jordan,0.991
82,Kyrgyz Republic,0.99
83,Qatar,0.99
84,Singapore,0.99
85,Bulgaria,0.989
86,Malaysia,0.989
87,Macedonia,0.988
88,Sri Lanka,0.988
89,United Arab Emirates,0.987
90,Bahrain,0.985
91,Japan,0.983
92,Saudi Arabia,0.983
93,Vietnam,0.982
94,Peru,0.981
95,Madagascar,0.98
96,Bolivia,0.98
97,Oman,0.977
98,Zimbabwe,0.977
99,Myanmar,0.975
100,China,0.973
101,Korea,0.973
102,Egypt,0.973
103,Germany,0.972
104,Cape Verde,0.972
105,Indonesia,0.97
106,Tunisia,0.97
107,Guatemala,0.969
108,Bosnia Herzegovina,0.967
109,Algeria,0.966
110,Lao PDR,0.965
111,Lebanon,0.964
112,India,0.962
113,Turkey,0.961
114,Rwanda,0.957
115,Morocco,0.956
116,Bhutan,0.954
117,Syria,0.953
118,Iran,0.953
119,Ghana,0.951
120,Bangladesh,0.951
121,Vanuatu*,0.947
122,Timor-Leste,0.946
123,Tajikistan,0.942
124,Cambodia,0.939
125,Zambia*,0.938
126,Kenya,0.938
127,Tanzania,0.921
128,Malawi,0.915
129,Uganda,0.914
130,Mozambique,0.904
131,Burundi,0.896
132,Papua New Guinea*,0.895
133,Nepal,0.895
134,Gambia,0.891
135,Senegal,0.888
136,Cameroon,0.885
137,Mauritania,0.879
138,Burkina Faso,0.873
139,Sierra Leone,0.86
140,Ethiopia,0.85
141,Liberia,0.839
142,Côte d'Ivoire,0.828
143,Pakistan,0.823
144,Iraq,0.812
145,Nigeria,0.806
146,Togo,0.778
147,Angola,0.759
148,Mali,0.757
149,Benin,0.733
150,Yemen,0.717
151,Guinea,0.68
152,Congo Dem Rep,0.658
153,Chad,0.589
