Rank,Country,Score
1,Iceland,0.701
2,Norway,0.598
3,Nicaragua,0.565
4,Rwanda,0.563
5,Finland,0.563
6,Costa Rica,0.545
7,Bangladesh,0.545
8,Spain,0.527
9,Sweden,0.525
10,South Africa,0.497
11,Ireland,0.493
12,Germany,0.477
13,New Zealand,0.474
14,Mexico,0.468
15,France,0.459
16,Ethiopia,0.427
17,Denmark,0.421
18,India,0.411
19,Switzerland,0.407
20,United Kingdom,0.396
21,Cuba,0.392
22,Argentina,0.387
23,Albania,0.376
24,Namibia,0.369
25,Canada,0.365
26,Mozambique,0.362
27,Bolivia,0.357
28,Latvia,0.355
29,Philippines,0.353
30,Austria,0.344
31,Trinidad and Tobago*,0.329
32,Senegal,0.32
33,Colombia,0.318
34,Belgium,0.313
35,Uganda,0.309
36,Chile,0.307
37,Estonia,0.294
38,Bosnia Herzegovina,0.29
39,Portugal,0.278
40,Netherlands,0.276
41,Serbia,0.276
42,Uruguay,0.274
43,Burundi,0.269
44,Italy,0.267
45,Moldova,0.264
46,Angola,0.262
47,El Salvador,0.262
48,Ecuador,0.26
49,Poland,0.256
50,Tanzania,0.254
51,Timor-Leste,0.249
52,Macedonia,0.248
53,Peru,0.247
54,Zimbabwe,0.238
55,Croatia,0.232
56,Suriname,0.232
57,Australia,0.231
58,Slovak Republic,0.231
59,Nepal,0.227
60,Bulgaria,0.225
61,Barbados,0.222
62,Panama,0.222
63,Liberia,0.218
64,Israel,0.214
65,Lithuania,0.207
66,Luxembourg,0.206
67,Tunisia,0.201
68,Honduras,0.199
69,Jamaica,0.197
70,Cameroon,0.196
71,Slovenia,0.196
72,Mauritania,0.194
73,Sri Lanka,0.193
74,Venezuela,0.191
75,United Arab Emirates,0.191
76,Romania,0.19
77,Czech Republic,0.189
78,Malta,0.184
79,Korea,0.179
80,Zambia*,0.174
81,Belarus,0.172
82,Indonesia,0.172
83,Ukraine,0.171
84,Mali,0.171
85,Kenya,0.169
86,United States,0.164
87,Greece,0.164
88,Dominican Republic,0.163
89,Cape Verde,0.163
90,Malawi,0.162
91,Montenegro,0.161
92,Singapore,0.159
93,Pakistan,0.159
94,Georgia,0.154
95,China,0.154
96,Madagascar,0.151
97,Fiji,0.15
98,Lao PDR,0.15
99,Algeria,0.145
100,Chad,0.141
101,Swaziland,0.138
102,Lesotho,0.137
103,Egypt,0.133
104,Brazil,0.133
105,Kyrgyz Republic,0.13
106,Kazakhstan,0.13
107,Ghana,0.129
108,Guinea,0.125
109,Turkey,0.124
110,Vietnam,0.123
111,Cyprus,0.122
112,Paraguay,0.122
113,Jordan,0.121
114,Armenia,0.118
115,Maldives,0.111
116,Togo,0.111
117,Malaysia,0.108
118,Iraq,0.105
119,Cambodia,0.103
120,Mongolia,0.102
121,Sierra Leone,0.1
122,Russian Federation,0.095
123,Morocco,0.095
124,Mauritius,0.094
125,Guatemala,0.092
126,Congo Dem Rep,0.089
127,Burkina Faso,0.089
128,Tajikistan,0.088
129,Thailand,0.086
130,Syria,0.085
131,Côte d'Ivoire,0.082
132,Bhutan,0.082
133,Myanmar,0.08
134,Benin,0.079
135,Botswana,0.079
136,Saudi Arabia,0.077
137,Gambia,0.067
138,Bahrain,0.066
139,Hungary,0.065
140,Azerbaijan,0.063
141,Bahamas,0.061
142,Kuwait,0.053
143,Qatar,0.052
144,Japan,0.049
145,Iran,0.037
146,Nigeria,0.032
147,Belize,0.032
148,Brunei Darussalam,0.031
149,Lebanon,0.024
150,Oman,0.021
151,Yemen,0.018
152,Papua New Guinea*,0
152,Vanuatu*,0
